,,,,,
,ID,Shop,Category,Secondary,Comments
,2053,Dragon Capital Merge,Seasonal Shop,Merge Shop,
,2054,Trygve Merge Shop,Merge Shop,,
,2055,Champion Drakath Merge,Merge Shop,,
,2056,Chaos Avenger Class,AC Shop,,
,2057,13th Upholder,Badge Shop,,
,2058,Queen's Reign Merge,Merge Shop,,
,2059,13th Birthday Collection,Item Shop,AC Shop,Requires 64391
,2060,Orb Hunt Merge,Merge Shop,,
,2061,Queen's Battle Merge,Merge Shop,,
,2062,Chaos Keep House,House Shop,,
,2063,(Grave)Rob Vordred,Normal Shop,,
,2064,Apocalyptic Dracolich House,Badge Shop,House Shop,
,2065,Astravia Judgement Merge,Merge Shop,,
,2066,Ultra Drago Merge,Merge Shop,,
,2067,Ebil HQ Merge,Merge Shop,,
,2068,"1,100,000 ACs",Badge Shop,,
,2069,12 Years Membership,Badge Shop,,
,2070,13 Years Played,Badge Shop,,
,2071,Skullbreaker Knight,Merge Shop,,
,2072,Black Friday 2021 Collection,Item Shop,AC Shop,Requires 65785
,2073,2022 Calendar,Promo Shop,,
,2074,2022 Collector's Calendar,Promo Shop,,
,2075,Hollowborn Judgement Merge,Merge Shop,,
,2076,Helsgrove Merge,Seasonal Shop,Merge Shop,
,2077,Gundahar's Stash,Merge Shop,,
,2078,WorldBreaker Set,Badge Shop,,LQS
,2079,Enchanted Giftbox House,Badge Shop,House Shop,LQS
,2080,Holiday Hero Battlepack,Badge Shop,,LQS
,2081,Generosity Shop 1.0,Seasonal Shop,Merge Shop,
,2082,2021 Gifting Tier 1,Badge Shop,,
,2083,2021 Gifting Tier 2,Badge Shop,,
,2084,2021 Gifting Tier 3,Badge Shop,,
,2085,2021 Gifting Tier 4,Badge Shop,,
,2086,Frostval 2021 Collection,Item Shop,AC Shop,Requires 66497
,2087,,No Shop,,
,2088,Huntress Merge,Seasonal Shop,Merge Shop,
,2089,Eternal Chaos Merge,Merge Shop,,
,2090,ArchFiend's Paladin,Badge Shop,,
,2091,Imperial Tiger Forces,Badge Shop,,
,2092,Infernal Underworld Upgrade,Badge Shop,,
,2093,NecroStorm Lich,Badge Shop,,
,2094,Eldritch Warrior Upgrade Pack,Badge Shop,,
,2095,Sun God Warrior Shop,Badge Shop,,
,2096,Wrath of Xan,Badge Shop,,
,2097,Mystical Yokai Warrior,Badge Shop,,
,2098,Doom Pirate Commander,Badge Shop,,
,2099,Obsidian DragonSlayer,Badge Shop,,
,2100,Apocalyptic DarkBlood,Badge Shop,,
,2101,Frostborn Wolf Rider,Badge Shop,,
,2102,Diabolical Rep Shop,Reputation Shop,,
,2103,Fiendish LoreMaster Merge,Merge Shop,,
,2104,Nulgath Collection 2022,Item Shop,AC Shop,Requires 67274
,2105,Nulgath Collection 2022 Preview,Preview Shop,,
,2106,FiendPast Merge,Merge Shop,,
,2107,Mverse Merge,Merge Shop,,
,2108,Lady Lua's Merge,Seasonal Shop,Merge Shop,
,2109,Arcadia Merge,Seasonal Shop,Merge Shop,
,2110,8-Bit Paladin,Promo Shop,,
,2111,8-Bit Golden Paladin,Promo Shop,,
,2112,Suki's Merge Shop,Merge Shop,,
,2113,Carnaval Merge,Seasonal Shop,Merge Shop,
,2114,Jera Shop,Merge Shop,,
,2115,Uruz Shop,Merge Shop,,
,2116,Fehu Shop,Merge Shop,,
,2117,8-Bit ROMPaladin,Promo Shop,,
,2118,Dage Challenge Merge,Merge Shop,,
,2119,Dage Recruit Merge,Merge Shop,,
,2120,Underworld Legacy Collection,Item Shop,AC Shop,Requires 68793
,2121,DarkWar Nation Merge,Merge Shop,,
,2122,DarkWar Legion Merge,Merge Shop,,
,2123,Nation War Chest,Merge Shop,,
,2124,Legion War Chest,Merge Shop,,
,2125,Eternal Underworld Legacy,Staff Shop,,
,2126,Suki's Prestige,Merge Shop,,
,2127,Battleon Building Shop,Rare Shop,,
,2128,Meateor Shard Merge,Seasonal Shop,Merge Shop,
,2129,Meateor Hunt Merge,Seasonal Shop,Merge Shop,
,2130,First Observatory Shop,Merge Shop,,
,2131,Class Testing Realm Classes,Rare Shop,,
,2132,Mi's Garden Gear,Normal Shop,,
,2133,Zoda's Merge Shop,Seasonal Shop,Merge Shop,
,2134,Oddities Merge Shop,Merge Shop,,
,2135,Fabyo's Spooky Merge,Member Shop,Merge Shop,
,2136,Genesis Garden Merge,Merge Shop,,
,2137,Nulgath's Merge Shop,Merge Shop,,
,2138,Blazing Beach Merge,Merge Shop,,
,2139,Beachin' Summer 2022 Collection,Item Shop,AC Shop,Requires 70651
,2140,Dread Forest Merge,Seasonal Shop,Merge Shop,
,2141,The World Merge,Merge Shop,,
,2142,Forge Weapon Enhancements,Enhancement Shop,,
,2143,Forge Cape Enhancements,Enhancement Shop,,
,2144,The World House Merge,House Shop,Merge Shop,
,2145,Darkon's Chorus Poster,Promo Shop,,
,2146,Korey Logo Banner,House Shop,,
,2147,Darkon Ultra Merge,Merge Shop,,
,2148,Shorinzan Merge Shop,Merge Shop,,
,2149,Titan Attack Gear,Merge Shop,,
,2150,LQS Enchanted Doom Titan,Badge Shop,,LQS
,2151,LQS DoomKnight Titan,Badge Shop,,LQS
,2152,LQS Platinum Hero Titan,Badge Shop,,LQS
,2153,LQS Fire and Ice Gear Pack,Badge Shop,,LQS
,2154,Titan Strike Gear,Merge Shop,,
,2155,Summer Break Merge,Seasonal Shop,Merge Shop,
,2156,Shadowflame Finale Merge,Merge Shop,,
,2157,ShadowFlame Finale Gear,AC Shop,,
,2158,Extra Credit Merge,Seasonal Shop,Merge Shop,
,2159,Back to School Gear,Seasonal Shop,,
,2160,Seasonal Birthday Shop,Seasonal Shop,,
,2161,Timekeep Merge,Merge Shop,,
,2162,Streamwar War Chest,AC Shop,,
,2163,Streamwar Merge,Merge Shop,,
,2164,Forge Helmet Enhancements,Enhancement Shop,,
,2165,Doom Pirate Houses,Badge Shop,House Shop,
,2166,Low Tide Merge,Seasonal Shop,Merge Shop,
,2167,TLaPD 2022 Collection,Item Shop,AC Shop,Requires 72338
,2168,Alutea Nursery,Seasonal Shop,Merge Shop,
,2169,Deadlines Merge,Merge Shop,,
,2170,Nightmare Carnax Merge,Merge Shop,,
,2171,14th Upholder,Badge Shop,,
,2172,Crescent Merge,Seasonal Shop,Merge Shop,
,2173,14 Years Played,Badge Shop,,
,2174,13 Years Membership,Badge Shop,,
,2175,"1,200,000 ACs",Badge Shop,,
,2176,20th Anniversary Collection,Item Shop,AC Shop,Requires 73101
,2177,Party Presents,Merge Shop,,
,2178,Mermaid Sushi Merge,Merge Shop,,
,2179,Tricktown Merge,Seasonal Shop,Merge Shop,
,2180,YOU DID NOTHING,Badge Shop,,
,2181,Harvest Merge,Seasonal Shop,Merge Shop,
,2182,Worlds Core Merge,Merge Shop,,
,2183,Gooseling Pet Shop,Seasonal Shop,,
,2184,Feather's Helms,Seasonal Shop,,
,2185,Brethwren Rep,Seasonal Shop,Reputation Shop,
,2186,Black Friday 2022 Collection,Item Shop,AC Shop,Requires 74095
,2187,2023 Calendar,Promo Shop,,
,2188,2023 Collector's Calendar,Promo Shop,,
,2189,EbilCorp Cafe Shop,Seasonal Shop,AC Shop,
,2190,EbilCorp Cafe Merge,Seasonal Shop,Merge Shop,
,2191,Hollowborn Lab Merge,Merge Shop,,
,2192,Dark Artifact Hunter,Item Shop,AC Shop,Requires 26037
,2193,Dark Artifact Hunter,Item Shop,AC Shop,Requires 26031
,2194,Frostval 2022 Collection,Item Shop,AC Shop,Requires 74716
,2195,Snowview Merge,Seasonal Shop,Merge Shop,
,2196,Snowview Race Merge,Seasonal Shop,Merge Shop,
,2197,Caroling Merge,Seasonal Shop,Merge Shop,
,2198,LQS Eternal Cosmic Dragon,Badge Shop,,LQS
,2199,LQS Frostval Naval Commander,Badge Shop,,LQS
,2200,LQS Primal Frost Tiger,Badge Shop,,LQS
,2201,LQS Northlands Getaway,Badge Shop,House Shop,LQS
,2202,LQS Holiday 2022 Battle Pack,Badge Shop,,LQS
,2203,2023 Collector's House Calendar,Promo Shop,House Shop,
,2204,TimeRetaliate Merge,Seasonal Shop,Merge Shop,
,2205,ArchFiend's Transcendence,Badge Shop,,
,2206,Eternal Hero of Time,Badge Shop,,
,2207,Paragon of Doom,Badge Shop,,
,2208,Stormbringer Warlock Upgrade,Badge Shop,,
,2209,Cosmic Bounty Hunter,Badge Shop,,
,2210,DeepSea Defender Upgrade,Badge Shop,,
,2211,Celestial Guardian Trio,Badge Shop,,
,2212,Water Dragon Summoner,Badge Shop,,
,2213,Shadowbound Voyager,Badge Shop,,
,2214,Dracolich Lord,Badge Shop,,
,2215,Apocalyptic Deathlord,Badge Shop,,
,2216,Cryo Chronomancer,Badge Shop,,
,2217,Yang's Favors,Merge Shop,,
,2218,Valarian's Merge,Merge Shop,Member Shop,
,2219,"Akumi Ultimate BountyHunter",Promo Shop,,
,2220,Frostval 2022 Gifting Tier 1,Badge Shop,,
,2221,Frostval 2022 Gifting Tier 2,Badge Shop,,
,2222,Frostval 2022 Gifting Tier 3,Badge Shop,,
,2223,Frostval 2022 Gifting Tier 4,Badge Shop,,
,2224,Frostval 2022 Gifting Tier 5,Badge Shop,,
,2225,Frostval 2022 Gifting Tier 6,Badge Shop,,
,2226,Frostval 2022 Gifting Tier 7,Badge Shop,,
,2227,Temple Siege Merge,Merge Shop,,
,2228,Nulgath's 2023 Collection,Item Shop,AC Shop,Requires 75784
,2229,Frostval 2022 Gifting Tier 3 House,Badge Shop,House Shop,
,2230,Frostval 2022 Gifting Tier 6 House,Badge Shop,House Shop,
,2231,Frostval 2022 Gifting Tier 7 House,Badge Shop,House Shop,
,2232,Temple Delve Merge,Merge Shop,,
,2233,Descendants Design Merge,Seasonal Shop,Merge Shop,
,2234,Frostval 2022 Gifting Tier 4 House,Badge Shop,House Shop,
,2235,Frostval 2022 Gifting Tier 5 House,Badge Shop,House Shop,
,2236,Friendship Merge,Merge Shop,,
,2237,Samba's Flag Merge,Seasonal Shop,Merge Shop,
,2238,Frostval 2022 Gifting Tier 2 House,Badge Shop,House Shop,
,2239,Frostval 2022 Gifting Tier 1 House,Badge Shop,House Shop,
,2240,Frostval 2022 Gifting Participant House,Badge Shop,House Shop,
,2241,Frostval 2022 Gifting Participant,Badge Shop,,
,2242,Mana Cradle Merge,Merge Shop,,
,2243,Rand's Merge,Seasonal Shop,Merge Shop,
,2244,Paragon of Doom House,Badge Shop,House Shop,
,2245,Dage 2023 Collection,Item Shop,AC Shop,Requires 76786
,2246,Shakaz's Merge,Merge Shop,,
,2247,Fortress Delve Merge,Merge Shop,,
,2248,Ultra Speaker Merge,Merge Shop,,
,2249,Inevitabilis Merge,Merge Shop,,
,2250,Featured House Gear,Rare Shop,House Shop,
,2251,NeighBeleen Merge,Merge Shop,,
,2252,Elixir Grenwog Merge,Seasonal Shop,Merge Shop,
,2253,Stormbringer Guardian Shop,Badge Shop,House Shop,
,2254,Brisbane's Shop,Staff Shop,,
,2255,Diplomat Merge,Merge Shop,,
,2256,Spirit Scarves,AC Shop,,
,2257,Spirit Flags House,House Shop,AC Shop,
,2258,UwU Clue Shop,Rare Shop,Item Shop,Requires 77472
,2259,Termina Temple Merge,Merge Shop,,
,2260,Moglin Twilly House Plush,Badge Shop,House Shop,
,2261,Moglin Twig House Plush,Badge Shop,House Shop,
,2262,Moglin Zorbak House  Plush,Badge Shop,House Shop,
,2263,Moglin Quibble House Plush,Badge Shop,House Shop,
,2264,Moglin Mort House Plush,Badge Shop,House Shop,
,2265,Moglin Memet House Plush,Badge Shop,House Shop,
,2266,Moglin Rez House Plush,Badge Shop,House Shop,
,2267,Moglin Scourge House Plush,Badge Shop,House Shop,
,2268,Moglin Scurvy House Plush,Badge Shop,House Shop,
,2269,Moglin Cupcake House Plush,Badge Shop,House Shop,
,2270,Moglin Nugget House Plush,Badge Shop,House Shop,
,2271,Moglin Zilla House Plush,Badge Shop,House Shop,
,2272,Twiggu's Gear,Seasonal Shop,Merge Shop,
,2273,Seaview Souvenirs,Merge Shop,,
,2274,January Seasonal Gear,Seasonal Shop,,
,2275,February Seasonal Gear,Seasonal Shop,,
,2276,March Seasonal Gear,Seasonal Shop,,
,2277,Spring Seasonal Gear,Seasonal Shop,,
,2278,May Seasonal Gear,Seasonal Shop,,
,2279,June Seasonal Gear,Staff Shop,,Unreleased
,2280,July Seasonal Gear,Seasonal Shop,,
,2281,August Seasonal Gear,Seasonal Shop,,
,2282,September Seasonal Gear,Seasonal Shop,,
,2283,October Seasonal Gear,Seasonal Shop,,
,2284,November Seasonal Gear,Seasonal Shop,,
,2285,December Seasonal Gear,Seasonal Shop,,
,2286,Dwarfhold Merge,Reputation Shop,Merge Shop,
,2287,Exodus Titan Shop,Item Shop,AC Shop,Requires 77954
,2288,Undine Commissary,Merge Shop,,
,2289,Sea Base House Merge,House Shop,Merge Shop,
,2290,Sora Birthday Items,Seasonal Shop,,
,2291,Sora Birthday House Items,Seasonal Shop,House Shop,
,2292,Lavarock Merge,Seasonal Shop,Merge Shop,
,2293,Twilight Zone Merge,Merge Shop,,
,2294,AC Cryomancer Sigil,AC Shop,,
,2295,Cryomancer Sigil,AC Shop,,
,2296,Akumi Ultimate House Shop,Promo Shop,House Shop,
,2297,Yulgar's Undine Merge,Merge Shop,,
,2298,Summer 2023 Collection,Item Shop,AC Shop,Requires 78309
,2299,Gravelyn's Gift Merge,Seasonal Shop,Merge Shop,
,2300,Dawn Fortress Merge,Merge Shop,,
,2301,Crater House Shop,Item Shop,House Shop,Requires 78627
,2302,Midnight Zone Merge,Merge Shop,,
,2303,Celestial Temple Forge,Merge Shop,,
,2304,Abyssal Zone Merge,Merge Shop,,
,2305,BattleMage Gauntlets,Merge Shop,,
,2306,2023 Timelock Key,Item Shop,,
,2307,Frozen Dracolich Lord,Badge Shop,,LQS
,2308,Pyroclastic PaladinSlayer,Badge Shop,,LQS
,2309,Pyroclastic PaladinSlayer (Mem),Badge Shop,,LQS
,2310,Frost & Flame Battle Gear,Badge Shop,,LQS
,2311,Geode Shop,Item Shop,AC Shop,Requires 67381
,2312,Skull Dome Merge,Merge Shop,,
,2313,Skull Dome Souvenirs,Normal Shop,,
,2314,Battle Concert Badge,Badge Shop,House Shop,
,2315,Skull Dome Jukebox,House Shop,,
,2316,Trench Observe Merge,Merge Shop,,
,2317,"Guitar Trio Hunt",Item Shop,AC Shop,Requires 56675
,2318,Royal Wentira Merge,Seasonal Shop,Merge Shop,
,2319,Royal Wentira Shop,Seasonal Shop,,
,2320,Sea Voice Merge,Merge Shop,,
,2321,Super Slayin Merge,Merge Shop,,
,2322,"Kathool's Chest",Merge Shop,,
,2323,Fireplace Merge,Item Shop,Merge Shop,Requires 79227
,2324,Arcana's Note Shop,Item Shop,Merge Shop,Requires 79228
,2325,Guardian Tower Chest,Item Shop,Merge Shop,Requires 79230
,2326,Wazikashi of Wyrding,Rare Shop,Item Shop,"Merge, Requires 79319"
,2327,TLaPD 2023 Collection,Item Shop,AC Shop,Requires 79456
,2328,Song's Potions,Normal Shop,,
,2329,Lost Guardian Hunt II,Item Shop,AC Shop,Requires 79482
,2330,DoomPirate Haul,Merge Shop,,
,2331,DoomPirate House,House Shop,Merge Shop,
,2332,Eclipse Ascension Award,Badge Shop,,
,2333,Infernal Slayer Shop,Merge Shop,,
,2334,Infernal Arena Merge Shop,Merge Shop,,
,2335,Infernal Arena Gear,AC Shop,,
,2336,Infernal Arena Champion,Badge Shop,,
,2337,Yokai Pirate Treasures,Merge Shop,,
,2338,Deep Trobble Shop,Seasonal Shop,Merge Shop,
,2339,Yokai Treasure Shop,Merge Shop,,
,2340,Lost Guardian Hunt III,Item Shop,Merge Shop,Requires 67844
,2341,Celestia's Rewards,Merge Shop,,
,2342,15th Upholder,Badge Shop,,
,2343,Verus DoomKnight,AC Shop,,
,2344,Chaos Translator Chest,Item Shop,Merge Shop,Requires 80569
,2345,reuse,Staff Shop,Merge Shop,
,2346,Vampiric Chalices,Seasonal Shop,Merge Shop,Requires 67664
,2347,Shadow Merge,Merge Shop,,
,2348,15th Birthday Collection,Item Shop,AC Shop,Requires 80678
,2349,Camlan Merge,Merge Shop,,
,2350,Abyssal Angel Shadow Armor,Item Shop,AC Shop,Requires 45832
,2351,Abyssal Angel Shadow Armor,Item Shop,AC Shop,Requires 45831
,2352,Pinkomancer Armor,Item Shop,AC Shop,Requires 15319
,2353,Classic Barber Armor,Item Shop,AC Shop,Requires 30
,2354,Clawsuit Armor,Item Shop,AC Shop,Requires 704
,2355,Evolved Clawsuit 10 Armor,Item Shop,AC Shop,Requires 6567
,2356,Evolved Clawsuit 11 Armor,Item Shop,AC Shop,Requires 10246
,2357,Vampire Armor,Item Shop,AC Shop,Requires 465
,2358,Witch Armor,Item Shop,AC Shop,Requires 466
,2359,Lost Guardian Hunt IV,Item Shop,AC Shop,Requires 81152
,2360,"Alnswick Castle Merge",Seasonal Shop,Merge Shop,
,2361,Free as a Bird Merge,Seasonal Shop,Merge Shop,
,2362,Cashfear shop,Reputation Shop,,
,2363,Apocalyptic Deathlord House Items,Badge Shop,House Shop,
,2364,Imperial DoomKnight,Item Shop,AC Shop,Requires 15773
,2365,Damaged Tree Trunk,Item Shop,AC Shop,Requires 81509
,2366,Robina's Harvest Merge,Seasonal Shop,Merge Shop,
,2367,Black Friday 2023 Collection,Item Shop,AC Shop,Requires 81604
,2368,Autumn Merge,Seasonal Shop,Merge Shop,
,2369,Shadowslayer D Merge,Merge Shop,,
,2370,2024 Calendar,Promo Shop,,
,2371,2024 Calendar Collector,Promo Shop,,
,2372,ArchDoom Fiend Combo,Promo Shop,,
,2373,"1,250,000 ACs",Badge Shop,,
,2374,15 Years Played,Badge Shop,,
,2375,14 Years Membership,Badge Shop,,
,2376,Generosity Shop 2.0,Seasonal Shop,Merge Shop,
,2377,Glacial Tomb Merge,Seasonal Shop,Merge Shop,
,2378,Fimbul Tomb Shop,Seasonal Shop,Merge Shop,
,2379,Frostval 2023 Collection,Item Shop,AC Shop,Requires 82480
,2380,Dragonslayer Infinity,Normal Shop,,"Infinity Only, Can be loaded in /battleon"
,2381,LQS White Lotus Acolyte,Badge Shop,,LQS
,2382,LQS Frostlorn Titan,Badge Shop,,LQS
,2383,LQS Paragon of Joy,Badge Shop,,LQS
,2384,LQS Gold & Silver Gear,Badge Shop,,LQS
,2385,LQS White Lotus Acolyte (Member),Badge Shop,,LQS
,2386,ChronoGem Merge,Seasonal Shop,Merge Shop,
,2387,Crocriver Merge Shop,Merge Shop,,
,2388,Wrath of Nulgath Upgrade Bonus,Badge Shop,,
,2389,Earth Dragon Avatar,Badge Shop,,
,2390,Underworld Soulseeker,Badge Shop,,
,2391,Surge Disruptor Upgrade Bonus,Badge Shop,,
,2392,Titan of Madness,Badge Shop,,
,2393,Elven Assassin,Badge Shop,,
,2394,Astral DragonKnight,Badge Shop,,
,2395,Eternal Harmony,Badge Shop,,
,2396,Midnight Sea Commander,Badge Shop,,
,2397,Mirror Necromancer Upgrade,Badge Shop,,
,2398,Apocalyptic Illusionist,Badge Shop,,
,2399,Frostblood Titan Class,Badge Shop,,
,2400,Frostval 2023 Gifting Tier 1,Badge Shop,,
,2401,Frostval 2023 Gifting Tier 2,Badge Shop,,
,2402,Frostval 2023 Gifting Tier 3,Badge Shop,,
,2403,Frostval 2023 Gifting Tier 4,Badge Shop,,
,2404,Frostval 2023 Gifting Tier 5,Badge Shop,,
,2405,Frostval 2023 Gifting Tier 6,Badge Shop,,
,2406,Frostval 2023 Gifting Tier 7,Badge Shop,,
,2407,Frostval 2023 Gifting Tier 3 House,Badge Shop,House Shop,
,2408,Void Refuge Merge Shop,Merge Shop,,
,2409,Nulgath Collection 2024,Item Shop,AC Shop,Requires 82480
,2410,Void Chasm Merge Shop,Merge Shop,,
,2411,Fiend Shard,AC Shop,,
,2412,Sapphire Cobra Merge,Item Shop,Merge Shop,Requires 83596
,2413,Yguasu Falls,Seasonal Shop,Merge Shop,
,2414,Haku Village Merge Shop,Merge Shop,,
,2415,Haku Village Store,AC Shop,,
,2416,Haku War Shop,Merge Shop,,
,2417,Yokai Thief,Item Shop,,Requires 84263
,2418,Deimos' Den Rewards,Merge Shop,,
,2419,Dage 2024 Collection,Item Shop,,Requires 84463
,2420,Legion Barracks Shop,Merge Shop,,
,2421,Cocytus Barracks Shop,Merge Shop,,
,2422,Hollowborn LoveCaster Merge Shop,Merge Shop,,
,2423,Hollowborn LoveCaster AC Shop,AC Shop,,
,2424,XXIV Undead Legion,Promo Shop,,
,2425,"Yes, Ma'am's Merge Shop",Seasonal Shop,Merge Shop,
,2426,Duplication Error Badge Shop,Seasonal Shop,Merge Shop,
,2427,Valencia's April Fools Merge,Merge Shop,,
,2428,leZard Man Merge,Seasonal Shop,Merge Shop,
,2429,Yokai Portal Merge,Merge Shop,,
,2430,Yokai Portal Shop,Normal Shop,,
,2431,Yokai Realm Merge,Merge Shop,,
,2432,Yokai Realm AC,AC Shop,,
,2433,Yokai Dragons Saga,Badge Shop,,
,2434,Arcana Invoker Resource Shop,Merge Shop,,
,2435,Arcana Invoker Insignia Shop,Merge Shop,,
,2436,Arcana Invoker Class Shop,AC Shop,,
,2437,GL-24K's Loot Merge,Seasonal Shop,Merge Shop,
,2438,GL-24K's AC Shop,Seasonal Shop,AC Shop,
,2439,Panopticon Gear,Merge Shop,,
,2440,Panopticon AC Gear,AC Shop,,
,2441,Skye Emissary's Merge,Reputation Shop,Merge Shop,
,2442,Lord Granville's Merge,Merge Shop,,
,2443,Sidhe's Devotee,Merge Shop,,
,2444,Zodiac Shop,AC Shop,,
,2445,Friendly to the Skye,AC Shop,,
,2446,Felix's Gilded Gear,Merge Shop,,
,2447,Skye Emissary's Reputation,Reputation Shop,,
,2448,Bounty Weapons Cache,Merge Shop,,Requires 86160
,2449,Diogon's Merge Shop,Merge Shop,,
,2450,Diogon's AC Gear,AC Shop,,
,2451,Sunset Treasures,Seasonal Shop,Merge Shop,
,2452,Loughshine Loot,Merge Shop,,
,2453,NaoiseGrave Loot,Merge Shop,,
,2454,Summer 2024 Collection,Item Shop,,Requires 86305
,2455,Edden's Treasures,Merge Shop,,
,2456,DragonFable Book 3 Bundle,Promo Shop,,
,2457,DragonFable Book 3 Bundle House,Staff Shop,,Unreleased
,2458,Nova Shrine Gifts,Merge Shop,,
,2459,2024 Timelock Key,Item Shop,,Requires 87140
,2460,LiaTaraHill Loot,Merge Shop,,
,2461,LQS Sol Invictus,Badge Shop,,LQS
,2462,LQS Celestial Mystic,Badge Shop,,LQS
,2463,LQS Summer Beach House (AC),Badge Shop,,LQS
,2464,LQS Celestial Weapons,Badge Shop,,LQS
,2465,CastleGaheris Shop,Merge Shop,,
,2466,LQS Summer Beach House (Mem),Badge Shop,,LQS
,2467,ColdThunder Shop,Merge Shop,,
,2468,Gravelyn's Infinity,Normal Shop,,Infinity Only
,2469,Infinity Lair Merge,Merge Shop,,Infinity Only
,2470,Badmoon Shop,Merge Shop,,
,2471,Chaos Queen Beleen,Staff Shop,,
,2472,Crulon's Wedding,Merge Shop,,
,2473,Pocong's Reward,Seasonal Shop,Merge Shop,Requires 87718
,2474,Neotower Shop,Merge Shop,,
,2475,Lothian Treasury,Merge Shop,,
,2476,Lothian AC Treasury,AC Shop,,
,2477,Oblivion Tundra Merge,Merge Shop,,
,2478,TLaPD 2024 Collection,Item Shop,AC Shop,Requires 87971
,2479,25% Pirate Blood War,AC Shop,,
,2480,50% Pirate Blood War,AC Shop,,
,2481,75% Pirate Blood War,AC Shop,,
,2482,Pirate Blood War Merge,Merge Shop,,
,2483,Pirate Blood War Music Shop,Merge Shop,,
,2484,Blood Isles Shop,Seasonal Shop,Merge Shop,
,2485,HeroMart TLaPD Bundle 2024,Promo Shop,,
,2486,Obsessor Commander Shop,Merge Shop,,
,2487,Obsessor Commander AC Shop,AC Shop,,
,2488,Aranx's Azalith Rewards,Merge Shop,,
,2489,BloodCaster Merge shop,Rare Shop,Merge Shop,
,2490,Martial Artist,AC Shop,,
,2491,16th Upholder,Badge Shop,,
,2492,LotusTomb Shop,Merge Shop,,
,2493,ShadowDuat Merge Shop,Merge Shop,,
,2494,ShadowDuat 25% Shop,Rare Shop,AC Shop,
,2495,ShadowDuat 75% Shop,Rare Shop,AC Shop,
,2496,Lae Wedding Merge shop,Merge Shop,,
,2497,16th Birthday Collection,Item Shop,AC Shop,Requires 85291
,2498,Lae Wedding AC shop,AC Shop,,
,2499,MonaghanGorge Shop,Merge Shop,,
,2500,Trickster Shifter Shop,Normal Shop,,
,2501,HiddenDuat Merge Shop,Merge Shop,,
,2502,HiddenDuat AC Shop,AC Shop,,
,2503,ManaHarvest Shop,Seasonal Shop,Merge Shop,
,2504,Grand Pirate King,Normal Shop,,
,2505,Dawnsanctum Shop,Merge Shop,,
,2506,Black Friday Collection 2024,Item Shop,AC Shop,Requires 89735
