ID,Name,Once,Slot,Value,Upgrade,Gold,XP
43,Missing Crate,FALSE,1,3,TRUE,100,100
44,Wilderness,FALSE,1,4,TRUE,100,100
45,Trobble Bath,FALSE,1,5,TRUE,100,100
46,Home Sick,FALSE,1,6,TRUE,100,100
47,Golden Shrooms,FALSE,3,1,FALSE,0,0
48,Blue Feathers,FALSE,3,2,FALSE,100,100
49,Flying Tails,FALSE,3,3,FALSE,100,100
50,Mixing Pot,FALSE,3,4,FALSE,20,15
51,Hungry for a Recipe,FALSE,3,5,FALSE,100,100
52,Missing Ingredient,FALSE,3,6,FALSE,100,100
53,Delicious Ingredient,FALSE,3,7,TRUE,250,250
54,Recipe Needed,FALSE,3,5,FALSE,100,100
57,Growing Plants,FALSE,-1,0,FALSE,100,100
58,Storage Speyeders,FALSE,4,5,FALSE,100,100
59,Can you do it?,FALSE,4,2,FALSE,100,100
60,Something in the Water,FALSE,-1,0,FALSE,100,100
61,"Hair, Tooth and Bone",FALSE,-1,0,FALSE,100,100
62,Ruined Plans,FALSE,-1,0,FALSE,200,200
63,Bait and Switch,FALSE,261,1,FALSE,100,100
64,Restocking,FALSE,261,2,FALSE,100,100
65,Spear Sabotage,FALSE,261,3,FALSE,100,100
66,Retaliation,FALSE,261,4,FALSE,200,200
67,Camping Out,FALSE,-1,0,FALSE,100,100
71,Unreadable Map,FALSE,-1,0,TRUE,100,100
72,Fishing Bait,FALSE,261,5,TRUE,100,100
73,Darkness Rising,FALSE,-1,0,TRUE,500,500
74,Flood of Power,FALSE,261,6,TRUE,500,500
75,Ancient Trainee,FALSE,-1,0,FALSE,100,100
76,Ancient Endurance,FALSE,-1,0,FALSE,100,100
77,Ancient Path of the Warrior,FALSE,-1,0,FALSE,200,200
78,Ancient Mix it Up!,FALSE,-1,0,FALSE,100,100
79,Ancient Shadow Skills,FALSE,-1,0,FALSE,100,100
80,Ancient Evade and Counterstrike!,FALSE,-1,0,FALSE,200,200
81,Ancient Essential Magics,FALSE,-1,0,FALSE,100,100
82,Ancient Glimpse of the Dark Side,FALSE,-1,0,FALSE,100,100
83,Ancient Undead Energy,FALSE,-1,0,FALSE,200,200
84,Ancient Healer Knowledge,FALSE,-1,0,FALSE,100,100
85,Ancient White Wizard,FALSE,-1,0,FALSE,100,100
86,Ancient Protection,FALSE,-1,0,FALSE,200,200
90,Ninja Grudge,FALSE,10,1,FALSE,200,200
91,Without a Trace,FALSE,10,2,FALSE,200,200
92,Hit Job,FALSE,10,3,FALSE,400,400
93,Chilling Costume,FALSE,13,3,FALSE,150,150
94,Candy Basket,FALSE,13,4,FALSE,150,150
95,Candy Craze,FALSE,13,1,FALSE,200,200
96,Chocolate Goodness,FALSE,13,2,FALSE,200,200
97,Lollipop Potion,FALSE,13,5,FALSE,250,250
98,Mystery Candy,FALSE,13,6,FALSE,300,300
99,Can't have enough,FALSE,13,7,FALSE,600,600
100,Stone Endurance,FALSE,12,1,FALSE,100,100
101,Heart of Stone,FALSE,12,2,FALSE,150,150
102,Fire Endurance,FALSE,12,3,FALSE,110,110
103,Burning Heart,FALSE,12,4,TRUE,160,160
104,Water Endurance,FALSE,12,5,TRUE,130,130
105,Liquid Soul,FALSE,12,6,TRUE,170,170
106,Dark Endurance,FALSE,12,7,TRUE,140,140
107,Heart of Darkness,FALSE,12,8,TRUE,200,200
109,Dragonbane,FALSE,-1,0,FALSE,100,100
110,Dragon Scales,FALSE,-1,0,FALSE,100,100
111,Dragon Souvenirs,FALSE,-1,0,FALSE,100,100
112,Dragonslayer,FALSE,-1,0,TRUE,200,200
113,Ancient Warrior Spirit,FALSE,-1,0,FALSE,200,200
114,Ancient Mage Essence,FALSE,-1,0,FALSE,200,200
115,Ancient Shadow Hour,FALSE,-1,0,FALSE,200,200
116,Ancient Light Ways,FALSE,-1,0,FALSE,200,200
117,Fighting Exercise,FALSE,5,1,FALSE,10,10
118,Tougher Monsters,FALSE,5,2,FALSE,20,20
120,Bejeweled Blade,FALSE,-1,0,FALSE,100,100
121,Warrior Claymore Blade Enchant,FALSE,-1,0,FALSE,100,100
122,Quadrolithium,FALSE,-1,0,FALSE,50,50
123,Dam Balloons,FALSE,-1,0,FALSE,100,100
124,Bumper Bolts,FALSE,-1,0,FALSE,50,150
125,Mithril Man Batteries,FALSE,-1,0,FALSE,150,150
126,ProtoSartorium Parts,FALSE,-1,0,FALSE,500,500
129,Food Fighter Badge Quest,FALSE,-1,0,FALSE,0,0
130,Scout the Cornycopia,FALSE,14,1,FALSE,0,0
131,Unboiling Water,FALSE,14,2,FALSE,0,0
132,The Corn has Ears,FALSE,14,3,FALSE,150,150
133,An Apple a Day,FALSE,14,4,FALSE,200,200
134,Whine n' Cheese,FALSE,14,5,FALSE,250,250
135,Fruit of the Loot,FALSE,14,6,FALSE,100,100
136,The Turdraken,FALSE,14,7,FALSE,500,500
139,Pain-Apple!,FALSE,14,8,TRUE,200,200
140,Squishy Squash!,FALSE,14,9,TRUE,200,200
141,Ice Cream!,FALSE,14,10,TRUE,200,200
142,Ring of Pain!,FALSE,14,11,TRUE,200,200
143,Cholesterious,FALSE,14,12,TRUE,200,200
144,Murry's Revenge,FALSE,15,1,FALSE,150,150
145,Crusaders Schmusaders,FALSE,15,2,FALSE,100,200
146,Bad Captains,FALSE,15,3,FALSE,200,100
147,Which Witch is Which?,FALSE,15,4,FALSE,50,250
148,Murry's Hunch,FALSE,15,5,FALSE,200,100
149,Magic Overload!,FALSE,15,6,FALSE,200,100
152,Turn Frost Dragon into Dracolich!,FALSE,-1,0,FALSE,0,0
153,Turn Dracolich into Dragon!,FALSE,-1,0,FALSE,0,0
154,Piercing Arrows!,FALSE,-1,0,TRUE,200,200
155,Rescue Blizzy,FALSE,17,1,FALSE,100,100
156,Scary Snow Men,FALSE,17,2,FALSE,50,50
157,Moglin Popsicles,FALSE,17,3,FALSE,150,150
158,Crystal Spider,FALSE,17,4,FALSE,200,200
159,Fluffy Bears,FALSE,17,5,FALSE,250,250
160,Blue Eyed Beast,FALSE,17,6,FALSE,300,300
161,Trouble Makers,FALSE,17,7,FALSE,350,350
162,Bad Ice Cream,FALSE,17,8,FALSE,400,400
163,Greedy Sneevil,FALSE,17,9,FALSE,500,500
164,Shadow Figure,FALSE,17,10,FALSE,600,600
165,Dragonslayer Veteran,FALSE,18,1,FALSE,100,100
166,Dragonslayer Sergeant,FALSE,18,2,FALSE,150,150
167,Dragonslayer Captain,FALSE,18,3,FALSE,200,200
168,Dragonslayer Marshal,FALSE,18,4,FALSE,250,250
169,Dragonslayer Reward,FALSE,18,5,FALSE,500,500
170,Turn Red Dragon into Dracolich,FALSE,-1,0,TRUE,0,0
171,Turn Dracolich into Red Dragon,FALSE,-1,0,TRUE,0,0
172,Jars of Slime,FALSE,19,1,FALSE,50,50
173,Sneevil Boxes,FALSE,19,2,FALSE,100,100
174,Behind the bush?,TRUE,19,3,FALSE,0,0
175,Defeat Dogear,FALSE,19,4,FALSE,200,200
176,Undead Assault,FALSE,20,2,FALSE,100,100
177,Skull Crusher Mountain,FALSE,20,3,FALSE,200,200
178,The Undead Giant,FALSE,20,4,FALSE,300,300
179,Talk to the Knights,TRUE,20,5,FALSE,0,0
180,Defend the Throne Room,FALSE,20,6,FALSE,200,200
181,Summoning Complete,FALSE,15,7,FALSE,500,500
182,Grand Inquisitor's Penance,FALSE,15,8,FALSE,500,500
183,Enter the Gates,FALSE,20,1,FALSE,40,100
187,Fire Gem,FALSE,-1,0,FALSE,100,50
195,ShadowFall Quest1,TRUE,43,1,FALSE,0,0
196,Recover Sepulchure's Armor,FALSE,43,2,FALSE,200,200
198,Slimes on a bridge,FALSE,-1,0,FALSE,50,50
199,Pirate Hat,FALSE,-1,0,FALSE,50,50
200,Pirate Cutlass,FALSE,-1,0,FALSE,50,50
201,Undead Pirate's Guitar,FALSE,-1,0,FALSE,50,50
203,Holy Scuba Gear,FALSE,-1,0,FALSE,50,50
204,Deep Diver Helmet,FALSE,-1,0,FALSE,50,50
205,Braken Bass,FALSE,-1,0,FALSE,50,50
206,Ghost Ship in a Bottle,FALSE,-1,0,FALSE,50,50
207,Trident of Storms,FALSE,-1,0,FALSE,50,50
208,Fishy Guitar,FALSE,-1,0,FALSE,50,50
209,Fishbone Head,FALSE,-1,0,FALSE,50,50
211,Rainbow Rats,FALSE,-1,0,FALSE,75,75
212,Monochrome,FALSE,-1,0,FALSE,75,75
213,Destroy the A.R.C,FALSE,-1,0,FALSE,50,50
214,Frost that Lucky Harms!,FALSE,-1,0,FALSE,100,100
215,Pot of Gold!,FALSE,-1,0,FALSE,0,0
216,The Shoe's News,FALSE,-1,0,FALSE,50,50
217,A Shoemaker's Work is Never Done,FALSE,-1,0,FALSE,75,75
219,The Sabbatia,FALSE,-1,0,FALSE,50,50
220,Grasses,FALSE,-1,0,FALSE,200,200
221,The Spiders have changed...,FALSE,-1,0,FALSE,75,75
223,Things that go Bump in the Night,FALSE,-1,0,FALSE,75,75
224,Defend Town,FALSE,-1,0,FALSE,10,50
225,Mega Defenders Medal,FALSE,-1,0,FALSE,12,55
227,Stinging Dagger of Serpents,FALSE,-1,0,TRUE,0,0
228,Royal Blade of Thorns,FALSE,-1,0,TRUE,0,0
229,Staff of the Burning Abyss,FALSE,-1,0,TRUE,0,0
230,Egg Hunt - Vorpal Bunny,FALSE,-1,0,TRUE,0,0
231,Egg Hunt - Backpack,FALSE,-1,0,FALSE,0,0
232,Dagger of Serpents!,FALSE,-1,0,FALSE,0,0
233,Blade of Thorns,FALSE,-1,0,FALSE,0,0
234,Berzerker Bunny Helm - Wooden Egg,FALSE,-1,0,FALSE,0,0
235,Transforming Bunny Spear - Egg Shell,FALSE,-1,0,FALSE,0,0
236,Bunny Berzerker Armor - Were Egg,FALSE,-1,0,FALSE,0,0
237,Bunny on your Back - Quacked Egg,FALSE,-1,0,FALSE,0,0
238,Monday... Bone Mace!,FALSE,-1,0,FALSE,0,10
239,Tuesday... Broom of Doom!,FALSE,-1,0,FALSE,0,0
240,Wednesday... Faerie Sai!,FALSE,-1,0,FALSE,0,0
241,Thursday... Speargun!,FALSE,-1,0,FALSE,0,0
242,Friday... Liquid Hot Magma Axe!,FALSE,-1,0,FALSE,0,0
243,Saturday... Chakram Dagger!,FALSE,-1,0,FALSE,0,0
244,Sunday... Sludge Sword!,FALSE,-1,0,FALSE,0,0
245,Winged Spies,FALSE,21,1,FALSE,100,100
246,Chaos Prisoners,FALSE,21,2,FALSE,0,0
247,IMP-possible Task,FALSE,21,3,FALSE,150,150
248,Far Sighted,FALSE,21,5,FALSE,200,200
249,Slugfest,FALSE,21,6,FALSE,0,0
250,Chain Reaction,FALSE,21,7,FALSE,250,250
251,Epic Drops,FALSE,21,8,FALSE,0,0
252,Jarring Theft,FALSE,21,9,FALSE,300,300
253,DO LATER____Don't leave a faerie behind,FALSE,21,10,FALSE,0,0
254,DO LATER____Let them walk,FALSE,21,10,FALSE,0,0
255,Tree Hugger,FALSE,21,10,FALSE,400,400
256,The Second Piece,FALSE,21,11,FALSE,400,400
257,Ruined Ruins,FALSE,21,12,FALSE,450,450
258,Blueish Glow,FALSE,21,14,FALSE,450,450
259,Arm Yourself,FALSE,21,16,FALSE,500,500
260,You Can't Miss It!,FALSE,21,4,FALSE,0,0
261,Energize!,FALSE,21,13,FALSE,0,0
262,Quickdraw,FALSE,21,15,FALSE,0,0
263,You've Been Framed,FALSE,21,17,FALSE,0,0
264,Disguise!,FALSE,21,20,FALSE,0,0
265,To-Go Box,FALSE,21,21,FALSE,0,0
266,Some Assembly Required,FALSE,21,18,FALSE,0,0
267,Teleporter Report,FALSE,21,19,FALSE,0,0
268,Find the Key!  (Part One),FALSE,21,22,FALSE,0,0
269,Find the Key!  (Part Two),FALSE,21,23,FALSE,0,0
270,Find the Key!  (Part Three),FALSE,21,24,FALSE,0,0
271,The Lake Hydra,TRUE,21,25,FALSE,2500,10000
272,Escherion,TRUE,21,26,FALSE,2500,15000
273,Defender,FALSE,-1,0,FALSE,5,50
274,Mega Defender,FALSE,-1,0,FALSE,5,100
275,Savage Warlord Armor,FALSE,-1,0,TRUE,0,0
276,Horc Hacker,FALSE,-1,0,FALSE,0,0
277,Curve Bladed Polearm,FALSE,-1,0,FALSE,0,0
278,Infantry Pole Axe,FALSE,-1,0,FALSE,0,0
279,Massive Horc Cleaver,FALSE,-1,0,FALSE,0,0
280,Infantry Blade,FALSE,-1,0,FALSE,0,0
281,Horc Mangler,FALSE,-1,0,TRUE,0,0
282,Horc Claw,FALSE,-1,0,FALSE,0,0
283,Steel Chopper,FALSE,-1,0,FALSE,0,0
284,Pactagonal Armet,FALSE,-1,0,FALSE,0,0
285,Cyclops Warlord Helm,FALSE,-1,0,TRUE,0,0
286,Red Eye Staff,FALSE,-1,0,FALSE,0,0
287,Yellow Eye Staff,FALSE,-1,0,FALSE,0,0
288,Horc Club,FALSE,-1,0,FALSE,0,0
289,Undead Infantry Guard,FALSE,-1,0,FALSE,0,0
290,Undead Infantry Armor,FALSE,-1,0,TRUE,0,0
291,Defender's Winged Armet,FALSE,-1,0,TRUE,0,0
292,Pactagonal Defender's Crested Armet,FALSE,-1,0,FALSE,0,0
293,Undead Trooper Guard,FALSE,-1,0,FALSE,0,0
294,Infantry Helm,FALSE,-1,0,FALSE,0,0
297,Save Chuckles!,TRUE,23,1,FALSE,1,1
298,Skull Key,FALSE,-1,0,FALSE,0,0
299,Flux Collection,FALSE,-1,0,FALSE,25,25
300,Mega Flux Collection,FALSE,-1,0,FALSE,30,30
301,warm MILK!,FALSE,-1,0,FALSE,0,0
302,COLD MEDICINE!,FALSE,-1,0,FALSE,50,30
303,"Cup of Tea, please!",FALSE,-1,0,FALSE,60,35
304,Music Box for the Sleepless,FALSE,-1,0,FALSE,75,40
305,Wolves For Hire,FALSE,-1,0,FALSE,50,30
306,Blue Green Prints,FALSE,-1,0,FALSE,60,40
307,Brick Head,FALSE,-1,0,FALSE,100,50
308,Vicious Wolves,FALSE,-1,0,FALSE,100,50
309,"Slimes to the West, Slimes Everywhere",FALSE,-1,0,FALSE,100,50
310,Scaly Menace,FALSE,-1,0,FALSE,100,50
311,Overgrown Spiders,FALSE,-1,0,FALSE,100,50
312,Dragon Might,FALSE,-1,0,TRUE,250,75
313,Strange Gel,FALSE,-1,0,TRUE,250,75
314,Terrifying Reptile,FALSE,-1,0,TRUE,250,75
315,The beast with Many Eyes!,FALSE,-1,0,TRUE,250,75
316,Landing Swords!,FALSE,-1,0,FALSE,0,0
317,Free the sword!,FALSE,-1,0,TRUE,0,0
318,Hardly Suiting Armor,FALSE,-1,0,FALSE,0,0
319,Seven Sisters,FALSE,22,1,FALSE,0,0
320,Warm and Furry,FALSE,22,2,FALSE,250,750
321,Shell Shock,FALSE,22,3,FALSE,250,750
322,Bear Facts,FALSE,22,4,FALSE,250,1000
323,Give Snowbeard His Gold,FALSE,22,9,FALSE,100,100
324,The Spittoon Saloon,FALSE,22,5,FALSE,250,750
325,Bear it all!,FALSE,22,6,FALSE,250,750
326,Leather Feathers,FALSE,22,7,FALSE,250,750
327,Follow your Nose!,FALSE,22,8,FALSE,500,250
328,Alarm a Llama!,FALSE,-1,0,FALSE,100,50
329,Grizzly Situation,FALSE,-1,0,FALSE,100,50
330,Berry Interesting,FALSE,-1,0,TRUE,200,100
331,Squeeze Water from Stone,FALSE,22,11,FALSE,250,750
332,Carrion Carrying On,FALSE,22,12,FALSE,250,750
333,Bagged Lunches,FALSE,22,13,FALSE,250,750
334,Radiant Lamps,FALSE,22,14,FALSE,250,750
335,Having a Blast,FALSE,22,15,FALSE,250,750
336,Secret Weapons,FALSE,22,16,FALSE,250,750
337,Rock Star,FALSE,22,17,FALSE,0,0
338,All that glitters...,FALSE,22,18,FALSE,250,750
339,Gemeralds,FALSE,22,19,FALSE,250,750
340,Talc to Me,FALSE,22,20,FALSE,250,750
341,Rock Me Amadeus,FALSE,22,22,FALSE,250,1000
342,What’s Mine is Yours,FALSE,-1,0,FALSE,20000,20000
343,Upper City Gates,FALSE,22,21,FALSE,0,0
344,Bad Memory,TRUE,22,10,FALSE,500,3000
345,Balance the Scales,FALSE,-1,0,FALSE,200,150
346,Disapoofed,FALSE,22,23,FALSE,0,0
347,Hoodwinked,FALSE,22,24,FALSE,250,750
348,Claws For The Cause,FALSE,22,25,FALSE,250,750
349,Scrambled Eggs,FALSE,22,26,FALSE,250,750
350,The King's Wings,FALSE,22,27,FALSE,250,1000
351,Bugging Out,FALSE,22,28,FALSE,250,750
352,Lizard Gizzard,FALSE,22,29,FALSE,250,1000
353,Mock the Lock,FALSE,22,30,FALSE,250,750
354,Like Butter,FALSE,22,31,FALSE,0,0
355,Jailhouse Rock,FALSE,22,32,FALSE,250,1500
356,Explosives 101,FALSE,-1,0,FALSE,250,200
357,Big Bada-Boom,FALSE,22,33,FALSE,0,0
358,Hunger Pains,FALSE,-1,0,TRUE,300,250
359,Lodestone Locater,FALSE,-1,0,FALSE,250,200
360,Dwarf War Defender Medals,FALSE,-1,0,FALSE,20,10
361,Dwarf War Mega Defender Medals,FALSE,-1,0,FALSE,30,20
362,Defeat Rock Roc,TRUE,22,34,FALSE,5000,15000
363,Facing Vath,TRUE,22,35,FALSE,5000,20000
364,Youthanize,FALSE,-1,0,FALSE,200,100
365,Rattle Battle,FALSE,-1,0,FALSE,200,100
366,Dangerous Decor,FALSE,-1,0,TRUE,250,150
367,Bone-afide,FALSE,-1,0,FALSE,250,150
368,Sea No Evil,FALSE,-1,0,TRUE,500,300
369,That Hero Who Chases Slimes,FALSE,-1,0,FALSE,200,100
370,Cleanliness Is Next To Kingliness.,FALSE,-1,0,FALSE,200,100
371,Rumble with Grumble,FALSE,-1,0,TRUE,250,150
372,Tomb with a View,FALSE,-1,0,FALSE,250,150
373,Skele-tongue,FALSE,-1,0,TRUE,500,300
374,Ring Bearer,FALSE,24,1,FALSE,100,100
375,Skeletal Sabotage,FALSE,24,2,FALSE,125,100
376,Tunnel of Terror,FALSE,24,3,FALSE,150,100
377,The Search for the Sword,FALSE,24,4,FALSE,200,100
378,Pirate Ship Defender,FALSE,-1,0,FALSE,50,35
379,Pirate Ship Mega Defender,FALSE,-1,0,FALSE,50,35
380,Turtle Power,TRUE,25,1,FALSE,3000,4000
381,Setting Sail to Yokai,TRUE,25,2,FALSE,3000,4000
382,Tournament Finalist,TRUE,25,3,FALSE,5000,10000
383,Pockey Challenge,FALSE,-1,0,FALSE,2000,2000
384,Ninja Challenge,FALSE,-1,0,FALSE,2000,2000
385,Best Challenge,FALSE,-1,0,TRUE,2000,2000
386,Lodes of Gold,FALSE,-1,0,FALSE,100,50
387,Gold Digger,FALSE,-1,0,FALSE,100,50
389,GoldenDefender,FALSE,-1,0,FALSE,25,25
390,Mega Golden Defender,FALSE,-1,0,FALSE,25,25
391,Squash the King,FALSE,13,8,FALSE,100,100
392,A Bone To Pick,FALSE,13,9,FALSE,125,125
393,Were are the Wolves,FALSE,13,10,FALSE,150,150
394,"Killer, Chiller, Thriller Here Tonight",FALSE,13,11,FALSE,200,175
395,Candy Shop Cutscene,FALSE,13,12,FALSE,0,0
396,Clearing A Path,FALSE,13,13,FALSE,200,200
397,Kanthalite-D,FALSE,13,14,FALSE,250,200
398,Myx It Up,FALSE,13,15,FALSE,100,100
399,Candy Conundrum,FALSE,13,16,FALSE,275,150
400,Boos Clues,FALSE,13,17,FALSE,300,150
401,"What’s Up, Doc?",FALSE,13,18,FALSE,500,250
402,Dog Days,TRUE,25,4,FALSE,3000,4000
403,Faceless Threat,TRUE,25,5,FALSE,3000,4000
405,Zodiac Puzzle Key,TRUE,25,6,FALSE,3000,4000
406,Rescue!,TRUE,25,7,FALSE,5000,10000
407,Hay There!,FALSE,-1,0,FALSE,100,100
408,Got A Light,FALSE,-1,0,FALSE,100,100
409,Epic Gear Solid: Snack Eater,FALSE,-1,0,FALSE,100,100
411,You found Willow Creek!,FALSE,4,1,FALSE,0,0
412,The Farmer's Cat!,FALSE,19,1,FALSE,20,10
413,World Wide Web,FALSE,-1,0,TRUE,200,200
414,Cocoon of Doom,FALSE,-1,0,TRUE,200,200
415,A Web of Lies,FALSE,-1,0,TRUE,200,200
416,Tyrantula,FALSE,-1,0,TRUE,250,250
417,Newbie Shop,FALSE,19,3,FALSE,0,0
418,Newbie Fight,FALSE,19,2,FALSE,0,0
419,Book of Lore Quest,FALSE,19,4,FALSE,0,0
420,Unboiled Water,FALSE,-1,0,FALSE,0,0
421,PopRockCorn,FALSE,-1,0,FALSE,0,0
422,Wormscestershire sauce,FALSE,-1,0,FALSE,0,0
423,Cheese n' Whine,FALSE,-1,0,FALSE,0,0
429,Turkey go Boom!,FALSE,14,13,TRUE,0,0
430,Cater To His Every Dish,FALSE,14,14,TRUE,300,150
431,Mount Defender,FALSE,-1,0,FALSE,30,20
432,Mount Mega Defender,FALSE,-1,0,FALSE,32,25
433,Ice Cold Heart,FALSE,464,1,FALSE,100,50
434,A Key Discovery,FALSE,464,2,FALSE,30,25
435,Forgery,FALSE,464,3,FALSE,0,0
436,Forging Gemeralds,FALSE,464,4,FALSE,0,0
437,Element of Surprise,FALSE,464,1,FALSE,0,0
438,Interrogation,FALSE,464,2,FALSE,50,30
439,Locked on Combinations,FALSE,464,3,FALSE,125,75
440,Combo Breaker,FALSE,464,4,FALSE,200,50
441,Ice Nine,FALSE,-1,0,FALSE,200,150
442,Ice Wyrms,FALSE,-1,0,TRUE,300,200
443,Aisha's Minion,TRUE,2,2,FALSE,0,0
444,Aisha,TRUE,2,3,FALSE,0,0
445,Tipping the Scales,FALSE,-1,0,TRUE,100,100
446,Chest Thumping,FALSE,-1,0,FALSE,100,100
447,Yellow Snow Cone,FALSE,2,4,FALSE,250,200
448,Cool Down Items,FALSE,2,5,FALSE,300,200
449,Take a Chill Pill,FALSE,2,6,FALSE,200,200
450,Defeat 10 Viruses,FALSE,2,7,FALSE,0,0
451,Defeat 10 More,FALSE,2,8,FALSE,0,0
452,30? No way!,FALSE,2,9,FALSE,0,0
453,Add 10 More,FALSE,2,10,FALSE,0,0
454,50 is RIGHT OUT!,FALSE,2,11,FALSE,0,0
455,Anything but Common,FALSE,2,12,FALSE,0,0
456,'Twas the night before Frostval,FALSE,17,11,FALSE,300,200
457,Find Page 2,FALSE,17,12,FALSE,25,25
458,Find Page 3,FALSE,17,13,FALSE,0,0
459,Find Page 4,FALSE,17,14,FALSE,250,200
460,Find Page 5,FALSE,17,15,FALSE,600,300
461,Find Page 6,FALSE,17,16,FALSE,0,0
462,Talk to Tinsel,FALSE,17,10,FALSE,0,0
463,Circuit Breakers,FALSE,35,1,FALSE,150,100
464,Current Affairs,FALSE,35,2,FALSE,160,100
465,Not Finished Yet-i,FALSE,35,3,FALSE,200,200
466,Jinmenju Tree,TRUE,25,8,FALSE,0,500
467,Yokai Bandits,TRUE,25,9,FALSE,3000,4000
468,The Fiery Fiend,TRUE,25,10,FALSE,3000,4000
469,Dumpster Diving,TRUE,25,11,FALSE,0,500
470,"Reduce, Respawn, Recycle",TRUE,25,12,FALSE,3000,4000
471,The Hunt for the Hag,TRUE,25,13,FALSE,5000,10000
472,Big Bad Yokai,FALSE,25,13,TRUE,400,300
473,Su-she,TRUE,25,14,FALSE,3000,4000
474,Kappa Cuisine,TRUE,25,15,FALSE,3000,4000
476,Hisssssy Fit,TRUE,25,16,FALSE,5000,10000
477,The Purrrfect Crime,TRUE,25,17,FALSE,3000,4000
478,The Face Off,TRUE,25,18,FALSE,3000,4000
479,Cat-aclysm,TRUE,25,19,FALSE,5000,10000
480,Who is the Greatest?,FALSE,25,20,TRUE,2000,2000
481,Defeat O-dokuro,TRUE,25,20,FALSE,5000,10000
482,Yokai Defender,FALSE,-1,0,FALSE,30,25
483,Yokai Mega Defender,FALSE,-1,0,FALSE,45,30
484,Defeat O-Dokuro's Head,TRUE,25,21,FALSE,5000,10000
485,Fearsome Forest Fabrics,FALSE,-1,0,FALSE,5000,5000
486,Shadow Embargo,FALSE,-1,0,FALSE,5000,5000
487,Three Water Chestnuts,FALSE,-1,0,TRUE,5000,5000
488,Defeat Kitsune,TRUE,25,22,FALSE,7500,15000
489,Battle Under Battleon,FALSE,-1,0,FALSE,300,200
490,Brace-r Yourself!,FALSE,-1,0,TRUE,500,300
491,Inquisitor Inquiry,FALSE,-1,0,FALSE,300,200
492,Slithering Shadows,FALSE,-1,0,TRUE,500,300
493,Groundhorc's Day,FALSE,-1,0,FALSE,500,300
494,A Grave Mission,FALSE,26,1,FALSE,0,0
495,Lending a Helping Hand,FALSE,26,2,FALSE,500,1500
496,Bone Appetit,FALSE,26,3,FALSE,500,1500
497,Batting Cage,FALSE,26,4,FALSE,500,1500
498,His Bark is worse than his Blight,FALSE,26,5,FALSE,500,2000
499,Missing Lion,FALSE,-1,0,FALSE,100,100
500,Head of Lettuce,FALSE,-1,0,FALSE,100,100
501,Bad Spirit Away,FALSE,-1,0,FALSE,100,100
502,Lost Celebration Items,FALSE,-1,0,FALSE,100,100
503,Small Red Envelope,FALSE,-1,0,FALSE,300,0
504,Medium Red Envelope,FALSE,-1,0,FALSE,600,0
505,Large Red Envelope,FALSE,-1,0,FALSE,1200,0
506,In The Mood,FALSE,6,1,FALSE,50,50
507,Hedge Trimming,FALSE,6,2,FALSE,150,100
508,Bear Hugs,FALSE,6,3,FALSE,200,150
509,Stoopid Kewpid,FALSE,6,4,FALSE,250,200
510,Paper Heart,FALSE,6,5,FALSE,250,200
511,Imp Ink,FALSE,6,6,FALSE,300,250
