,,,,,
,ID,Shop,Category,Secondary,Comments
,1046,BoneBreaker,Badge Shop,,
,1047,Marvel Spiderman,Promo Shop,,
,1048,Marvel Ironman,Promo Shop,,
,1049,IceRise Past,Seasonal Shop,Member Shop,
,1050,Tundra Stalker,Rare Shop,,
,1051,Bonebreaker Merge,Merge Shop,,
,1052,BoneBreaker Exclusive,Staff Shop,,Broken
,1053,Winter's Heart Merge,Merge Shop,,
,1054,Sora's Birthday,Rare Shop,,
,1055,Tower of Winds Merge,Merge Shop,,
,1056,Cryomancer Class,Merge Shop,,
,1057,Dage Frostval Armor LQS,Badge Shop,,LQS
,1058,Ice Fortress House Shop,Badge Shop,House Shop,LQS
,1059,Santa Nulgath Battle Pet,Badge Shop,,LQS
,1060,Frostval Gear Set,Badge Shop,,LQS
,1061,Dark Ice Cryomancer,Member Shop,,
,1062,Eagle's Reach Armory,Merge Shop,,
,1063,Holiday Zorbak,Promo Shop,,
,1064,AdventureCoin Shop,AC Shop,,
,1065,Showcase Shop,Rare Shop,,
,1066,Golden Gladiator Tier 1,Badge Shop,,
,1067,Golden Gladiator Tier 2,Badge Shop,,
,1068,Golden Gladiator Tier 3,Badge Shop,,
,1069,Golden Gladiator Tier 4,Badge Shop,,
,1070,DemonHuntress Horns,Item Shop,,"Requires 59268, Previously 'Cysero's Secret Rares'"
,1071,Za'nar Merge,Merge Shop,,
,1072,First Weapon,Normal Shop,,
,1073,Oaklore Enhance,Enhancement Shop,,
,1074,Za'nar Book,Promo Shop,,
,1075,J6: Evolution,Promo Shop,,
,1076,J6: Bundle,Promo Shop,,
,1077,Za'nar Book House Shop,Promo Shop,House Shop,
,1078,Oaklore Potion,Normal Shop,,
,1079,Void Defender LTS,Rare Shop,,
,1080,Oaklore Weapons,Normal Shop,,
,1081,Moglin Pets,Merge Shop,,
,1082,Northpointe Weapons,Reputation Shop,,
,1083,Northpointe Accessories,Reputation Shop,,
,1084,Northpointe Pets,Reputation Shop,Member Shop,
,1085,Northpointe Magic Shop,Reputation Shop,,
,1086,Northpointe Shop,Reputation Shop,,
,1087,Good Recruiter,Reputation Shop,,
,1088,Evil Recruiter,Reputation Shop,,
,1089,Chaos Recruiter,Reputation Shop,,
,1090,Unlucky Love Shop,Seasonal Shop,,
,1091,Embersea Pets,Member Shop,,
,1092,Embersea Gear,Reputation Shop,,
,1093,Embersea Rep,Reputation Shop,,
,1094,Northpointe Dye Shop,Merge Shop,,
,1095,Fyreborn Tier 1,Badge Shop,,
,1096,Fyreborn Tier 2,Badge Shop,,
,1097,Fyreborn Tier 3,Badge Shop,,
,1098,Brightoak Gear,Normal Shop,,
,1099,Fyreborn AC,Rare Shop,,
,1100,Embersea Healing,Normal Shop,,
,1101,Pyrewatch Armory,Normal Shop,,
,1102,Dark Hunt Merge Shop,Merge Shop,,
,1103,Storm Cache,Item Shop,Merge Shop,Requires 29728
,1104,Dage Birthday House,Seasonal Shop,House Shop,Previously Dage's House Shop
,1105,Guardian Tower Memorial Shop,Item Shop,House Shop,Requires 24969
,1106,Legion DoomKnight Merge,Rare Shop,Merge Shop,
,1107,September Holiday,Rare Shop,,
,1108,Brimstone,Member Shop,,
,1109,1 month Centaur,Badge Shop,,
,1110,3 months Centaur,Badge Shop,,
,1111,6 months Centaur,Badge Shop,,
,1112,12 months Centaur,Badge Shop,,
,1113,Grovebreaker Rares,Rare Shop,,
,1114,Undead Assault,Rare Shop,,
,1115,Zazul House,Rare Shop,House Shop,
,1116,Dark Carnival Merge,Seasonal Shop,Merge Shop,
,1117,Dragonspire Merge,Merge Shop,,
,1118,Shadowspire Merge,Merge Shop,,
,1119,Queenspire Merge,Merge Shop,,
,1120,Shadowflame Warrior,Badge Shop,,
,1121,Shadowflame Champion,Badge Shop,,
,1122,Shadowflame Champion Merge,Badge Shop,Merge Shop,
,1123,Raptor Rider,Rare Shop,,
,1124,Forgotten Tombs,Merge Shop,,
,1125,Feverfew Merge,Merge Shop,,
,1126,Nightmare,Member Shop,,
,1127,Brightoak Pets,Normal Shop,,
,1128,Twilight's Arcana,Rare Shop,,
,1129,Armor of Awe,Merge Shop,,
,1130,Awe Passes,AC Shop,,
,1131,AQW Dragon Cape,Rare Shop,Item Shop,"Clicking on 29418, Disabled"
,1132,Necromancer AC pkg,Badge Shop,,
,1133,Seraphic Gear,Normal Shop,,
,1134,Bright New Hero,Badge Shop,,
,1135,Obsidia Necromancer,Rare Shop,,
,1136,Starsword Rares,Rare Shop,,
,1137,Draden's Merge Shop,Merge Shop,,
,1138,FireForge Shop,Merge Shop,,
,1139,Blaze Binder AC Class,AC Shop,,
,1140,Blaze Binder Rep Class,Reputation Shop,,
,1141,AC Pyromancer Sigils,Item Shop,,Requires 12811
,1142,Pyromancer Sigils,Item Shop,,Requires 12812
,1143,Lavarun Merge,Merge Shop,,
,1144,Dark Palace Merge,Merge Shop,,
,1145,Shadowflame Warrior Merge,Badge Shop,Merge Shop,
,1146,Celestial Rares,Rare Shop,,
,1147,1st Upholder Merge,Merge Shop,,
,1148,2nd Upholder Merge,Merge Shop,,
,1149,3rd Upholder Merge,Merge Shop,,
,1150,4th Upholder Merge,Merge Shop,,
,1151,5th Upholder Merge,Merge Shop,,
,1152,6th Upholder Merge,Merge Shop,,
,1153,7th Upholder Merge,Merge Shop,,
,1154,Starsword Merge,Merge Shop,,
,1155,Quibble House Items,Seasonal Shop,House Shop,
,1156,7th Upholder,Badge Shop,,
,1157,Necronaut LTS,Rare Shop,,
,1158,6 Year Upgrade Badge,Badge Shop,,
,1159,7 Years Played Badge,Badge Shop,,
,1160,300000 AC Loyalty,Badge Shop,House Shop,
,1161,7th Birthday Rares,Rare Shop,,
,1162,BattleCon Gear,Merge Shop,,
,1163,Dark Loremaster,Rare Shop,Merge Shop,
,1164,Evo Pumpkin Lord Class,Staff Shop,,
,1165,13th Anniversary Rares,Rare Shop,,
,1166,13th Anniversary Merge,Rare Shop,Merge Shop,
,1167,13th Anniversary Class,Staff Shop,AC Shop,
,1168,Undead Assault Badge,Badge Shop,,
,1169,The Hoard Merge,Merge Shop,,
,1170,Dragon Samurai AC Package,Badge Shop,,
,1171,Horde Zombie Slayer Badge,Badge Shop,,
,1172,Cruxshadows Merge,Merge Shop,,
,1173,Cruxshadows Rares,Rare Shop,,
,1174,CruxShadows VIP Shop,Rare Shop,Member Shop,
,1175,Moonlight Khopesh,Badge Shop,Merge Shop,
,1176,Mogloween Seasonal,Rare Shop,,
,1177,November LTS,Rare Shop,,
,1178,Rabbit Merge,Merge Shop,,
,1179,Fox Merge,Merge Shop,,
,1180,Owl Merge,Merge Shop,,
,1181,12 Month Swordhaven Royalty,Badge Shop,,
,1182,12k Lord of Doom Shop,Badge Shop,,
,1183,5k Lord of Doom Shop,Badge Shop,,
,1184,2k Lord of Doom Shop,Badge Shop,,
,1185,13th Friday Rares,Rare Shop,,
,1186,13th Friday Merge,Merge Shop,,
,1187,2016 Calendar,Promo Shop,,
,1188,Elfhame Merge,Merge Shop,,
,1189,Memet's Birthday Merge!,Rare Shop,Merge Shop,
,1190,Feast of Fear Merge,Seasonal Shop,Merge Shop,
,1191,Holiday House Shop,Rare Shop,House Shop,Previously Black Friday House Shop
,1192,Cyber Monday House Shop,Rare Shop,House Shop,
,1193,AU-some Gold Shop,Staff Shop,,
,1194,DarkHeart Merge,Merge Shop,,
,1195,Northlands Wolf Rider,Badge Shop,,
,1196,Cryostorm Wolf Rider,Badge Shop,,
,1197,Cryostorm Merge Shop,Seasonal Shop,Merge Shop,
,1198,DemonHuntress Horns,Item Shop,,"Requires 59267, Previously 'New Year Rares'"
,1199,Glacial Commander LQS,Badge Shop,,LQS
,1200,Ice Realm Portal House Shop,Badge Shop,House Shop,LQS
,1201,Doom Claws LQS,Badge Shop,,LQS
,1202,Shatterglass Pack LQS,Badge Shop,,LQS
,1203,New Year Merge,Merge Shop,,
,1204,Knight Commander Tier 1,Badge Shop,,
,1205,Knight Commander Tier 2,Badge Shop,,
,1206,Nation Merge,Merge Shop,,
,1207,Legion Merge,Merge Shop,,
,1208,Shadowscythe Merge,Merge Shop,,
,1209,Assassin's Creed LTS,Rare Shop,,
,1210,StoneCrusher Class Merge Shop,Reputation Shop,Merge Shop,
,1211,Dirtlicker's Shop,Merge Shop,,
,1212,Dwobo's Shop,Merge Shop,,
,1213,Chest Shop,Merge Shop,,
,1214,DemonHunter Horns,Item Shop,,"Requires 59270, Previously 'January Holiday Shop'"
,1215,February Rares Shop,Rare Shop,,
,1216,Parades,Seasonal Shop,,
,1217,Love Locked Merge,Seasonal Shop,Merge Shop,
,1218,Flock Shop,Merge Shop,,
,1219,Dreadrock Rep,Reputation Shop,,
,1220,Dreadrock Gear,Normal Shop,,
,1221,Dreadrock Pet,Normal Shop,,
,1222,Darkblood Tier 2,Badge Shop,,
,1223,Darkblood Tier 1,Badge Shop,,
,1224,Dreadrock Weapons,Normal Shop,,
,1225,HeroPoints Merge,Merge Shop,,
,1226,BioBeasts Install Shop,AC Shop,,
,1227,BioBeasts Merge,Merge Shop,,
,1228,J6s Envy Shop,Merge Shop,,
,1229,Aegis Rep Shop,Reputation Shop,,
,1230,Aegis Gear Shop,Reputation Shop,,
,1231,Aegis Pet Shop,Member Shop,,
,1232,Laken Birthday,Rare Shop,,
,1233,Luckdragon Merge Shop,Seasonal Shop,Merge Shop,
,1234,Portal War Reward,Staff Shop,,
,1235,Arcane Caster Merge,Merge Shop,,
,1236,Grenstory Merge,Seasonal Shop,Merge Shop,
,1237,VoidCaster Tier 1,Badge Shop,,
,1238,VoidCaster Tier 2,Badge Shop,,
,1239,April Fools 3D Shop,Normal Shop,,
,1240,Crystal Bright Merge,Merge Shop,,
,1241,April Rares 2016,Rare Shop,,
,1242,Bonecastle Merge,Merge Shop,,
,1243,Bonecastle Tower Merge,Merge Shop,,
,1244,Paradox Portal War Merge,Merge Shop,,
,1245,Abyssal Angel Class,Rare Shop,,
,1246,Tempus Mori Low,Badge Shop,,
,1247,Tempus Mori High,Badge Shop,,
,1248,Paradox Portal Merge,Badge Shop,,
,1249,Friday the 13th,Rare Shop,,2016 Version
,1250,Lore Trek Merge,Merge Shop,Member Shop,
,1251,Tachyon Merge,Merge Shop,Member Shop,
,1252,Battle Gems DragonSlayer,Promo Shop,,
,1253,Tachyon Gear,Rare Shop,,
,1254,Ziri's Magical Rares,Rare Shop,,
,1255,Ziri's Shop,Normal Shop,,
,1256,House Shop Test,Staff Shop,House Shop,
,1257,Bacon Cat Force Communicator,Member Shop,,
,1258,Galactic Defender,Badge Shop,,
,1259,Galactic Commander,Badge Shop,,
,1260,BaconCat Rep,Reputation Shop,,
,1261,Death Pit Arena Rep,Reputation Shop,Merge Shop,
,1262,World Champions,Rare Shop,,
,1263,Ancient CryptKeeper,Badge Shop,,
,1264,Arcane CryptKeeper,Badge Shop,,
,1265,Abyssal CryptKeeper,Badge Shop,,
,1266,CryptKeeper Vault,Badge Shop,,
,1267,,No Shop,,
,1268,Black Hole War Merge,Merge Shop,,
,1269,J6 Wedding Shop,Merge Shop,,
,1270,Death Pit Brawl Rep,Reputation Shop,Merge Shop,
,1271,Black Hole War Chest,Normal Shop,,
,1272,Golden Falcon Tier 1,Badge Shop,,
,1273,Maze Merge,Merge Shop,,
,1274,Golden Falcon Tier 2,Badge Shop,,
,1275,4D Pyramid Rep,Reputation Shop,,
,1276,4D Pyramid House,Merge Shop,Reputation Shop,House Shop
,1277,Black Dragon's Chest,Rare Shop,Item Shop,Requires 35738
,1278,Sanguine Merge,Merge Shop,,
,1279,AQ3D Kickstarter,Badge Shop,,
,1280,Radioactive BioBeast,Badge Shop,,
,1281,Pockey-Mogs Shop,Normal Shop,,
,1282,Dracolich War Merge,Merge Shop,,
,1283,Slayer War Chest,Merge Shop,,
,1284,Defender War Chest,Merge Shop,,
,1285,Elemental Dracomancer Class,Reputation Shop,,
,1286,Dragonslayer General Class,Merge Shop,,
,1287,Draco War Rares,Rare Shop,,
,1288,Shadowstrike Tier 1,Badge Shop,,
,1289,Shadowstrike Tier 2,Badge Shop,,
,1290,Goodbye Goodluck G,Rare Shop,,
,1291,Glurp's Merge,Merge Shop,,
,1292,Royal Raider,Badge Shop,,
,1293,Dark Seas Ruler,Badge Shop,,
,1294,Cursed Legion Merge,Item Shop,Merge Shop,Requires 36486
,1295,8th Upholder,Badge Shop,,
,1296,8th Upholder Merge,Merge Shop,,
,1297,Shadow Sorcery Tier 1,Badge Shop,,
,1298,Shadow Sorcery Tier 2,Badge Shop,,
,1299,Mystcroft Forest,Seasonal Shop,AC Shop,
,1300,,No Shop,,
,1301,HiddenDuat Secret Shop,Normal Shop,,
,1302,8th Birthday Rares,Rare Shop,,
,1303,ArchPaladin Shop,Normal Shop,,
,1304,Potion Shop,Normal Shop,,
,1305,DoomFire Guard,Badge Shop,,
,1306,DoomFire Warrior,Badge Shop,,
,1307,Gravelyn's DoomFire,Item Shop,AC Shop,Requires 37033
,1308,Mysterious Dungeon Rep,Reputation Shop,,
,1309,Castle of Darkness Shop,Rare Shop,,
,1310,Warlic's Enchantment Shop,Merge Shop,,
,1311,Yulgar's Dual Wield Shop,Merge Shop,,
,1312,Yulgar's Dual Wield Drop Off,Merge Shop,,
,1313,Zorbak's Pizza Hut,House Shop,,
,1314,FEARS Shop,Rare Shop,,
,1315,November Pkg Tier 1,Staff Shop,,
,1316,November Pkg Tier 2,Staff Shop,,
,1317,NostalgiaQuest,Badge Shop,,
,1318,Mazumi Shop,Staff Shop,AC Shop,
,1319,Warlic Reversion,Rare Shop,Merge Shop,
,1320,Lord of Bones Tier 1,Badge Shop,,
,1321,Lord of Bones Tier 2,Badge Shop,,
,1322,Lord of Broken Bones 1,Badge Shop,Merge Shop,
,1323,Lord of Broken Bones 2,Badge Shop,Merge Shop,
,1324,Champion of Light,Badge Shop,,
,1325,Lesser Bloodbeacon Polearm,Rare Shop,Merge Shop,"Item Shop, Requires 22344"
,1326,Featured November Gear,Rare Shop,,
,1327,Turkonian War Chest,Rare Shop,Merge Shop,
,1328,2017 Calendar,Promo Shop,,
,1329,Northlands Ranger Tier 1,Badge Shop,,
,1330,Northlands Ranger Tier 2,Badge Shop,,
,1331,Wyldehunt House I,Badge Shop,House Shop,
,1332,Wyldehunt House II,Badge Shop,House Shop,
,1333,Darknight Stalker (Tier 1),Badge Shop,Merge Shop,
,1334,Darknight Stalker (Tier 2),Badge Shop,Merge Shop,
,1335,Maya's Gifts,Seasonal Shop,Merge Shop,
,1336,Timelock Key,AC Shop,,
,1337,Shadow Stalker Set,Item Shop,AC Shop,Requires 37831
,1338,Artist Showcase: Blade,Normal Shop,,
,1339,Northern Defense Rep,Reputation Shop,,
,1340,,No Shop,,
,1341,Glaceran War Merge,Seasonal Shop,Merge Shop,
,1342,Frostling Horror,Badge Shop,,
,1343,BattleLord of Ravens,Badge Shop,,
,1344,BattleLord of Ravens,Badge Shop,,
,1345,NightElf SnowStalker,Badge Shop,,
,1346,Snowmoglin House,Badge Shop,,
,1347,Archive of Time Merge,Seasonal Shop,Merge Shop,
,1348,Featured January Gear,Rare Shop,,
,1349,ArchAngel Defender,Badge Shop,,
,1350,ArchFiend Loyalist,Badge Shop,,
,1351,LightCaster Class,Rare Shop,Merge Shop,Enchanted LightCaster
,1352,LightCaster Class,Rare Shop,Merge Shop,Token A & B
,1353,Evolved LightCaster,AC Shop,,
,1354,Crownsreach Merge Shop,Merge Shop,Member Shop,
,1355,Void Highlord Merge Shop,Merge Shop,,
,1356,Void Class Test,Preview Shop,,
,1357,Zorbak Hat,Promo Shop,,
,1358,Twilly Hat,Promo Shop,,
,1359,Swindle's Shop,AC Shop,,
,1360,Nulgath's Birthday,Seasonal Shop,,
,1361,Classic Paladin,Merge Shop,,
,1362,Blood Samurai Tier 1,Promo Shop,,
,1363,Blood Samurai Tier 2,Promo Shop,,
,1364,Dreadfire Milita Shop,Reputation Shop,,
,1365,Dreadfire Rep,Reputation Shop,,
,1366,Dreadfire Gear,Reputation Shop,,
,1367,Dreadfire Pet,Reputation Shop,,
,1368,,No Shop,,
,1369,Dreadfire ,Broken Shop,Item Shop,Requires 38565
,1370,Inferno Tome,Merge Shop,,Requires 38682
,1371,ProtoParagon T1,Badge Shop,,
,1372,ProtoParagon T2,Badge Shop,,
,1373,Bonus Legion DmK Class,Item Shop,,Requires 28585
,1374,Bonus Legion DmK Class,Item Shop,,Requires 28617
,1375,Bonus Legion DmK Class,Item Shop,,Requires 28700
,1376,Future Legion 50%,Seasonal Shop,Merge Shop,
,1377,Dage War 50%,Seasonal Shop,Merge Shop,
,1378,Future War Merge,Seasonal Shop,Merge Shop,
,1379,Paragon Mk 3017 Shop,Rare Shop,AC Shop,
,1380,Darkness,Enhancement Shop,Item Shop,"Requires 38829, Also contains non-enh items"
,1381,Dark Loremaster's Shop,Merge Shop,,
,1382,Mad Chemist's Shop,Normal Shop,,
,1383,Crownsreach Milita,Reputation Shop,,
,1384,Crownsreach Gear,Reputation Shop,,
,1385,Crown Critters,Reputation Shop,,
,1386,Chaos Alliance,Normal Shop,,
,1387,LightCaster Class Token A,Rare Shop,,
,1388,LightCaster Class Token B,Rare Shop,,
,1389,Nation Logo Shirt,Promo Shop,,
,1390,Future Legion Logo Shirt,Promo Shop,,
,1391,Undead Legion Logo Shop,Promo Shop,,
,1392,Nation Legion Shirt Combo,Promo Shop,,
,1393,VR//J6 Shop,Seasonal Shop,House Shop,
,1394,RiftWalker Tier 1,Promo Shop,,
,1395,RiftWalker Tier 2,Promo Shop,,
,1396,Rift Rep Shop,Reputation Shop,,
,1397,Rift Pet Shop,Reputation Shop,,
,1398,Rift Gear,Reputation Shop,,
,1399,Rift Milita,Reputation Shop,,
,1400,Rift Potions and Rations,Reputation Shop,,
,1401,Barricade Defense,Merge Shop,,
,1402,Bubblebath Toy Shop,House Shop,,
,1403,Loremaster Houses,House Shop,,
,1404,Lightstrike Commander,Promo Shop,,
,1405,Shadowforce Commander,Promo Shop,,
,1406,Void Merge,Merge Shop,,
,1407,Galactic Imperator,Badge Shop,,
,1408,Void Guardian,Badge Shop,,AC Version
,1409,Void Guardian,Badge Shop,,Member Version
,1410,Amaranthine Void Gear,Badge Shop,,
,1411,Pilgrim Gear Shop,Reputation Shop,,
,1412,Pilgrim House Shop,House Shop,,
,1413,Legendary Broodfiend,Badge Shop,,
,1414,Arch Broodfiend,Badge Shop,,
,1415,Blinding Light of Destiny,Badge Shop,,
,1416,Wishing Shop,Rare Shop,,
,1417,Fountain Shop,Rare Shop,House Shop,
,1418,Molten Mayhem,Rare Shop,,
,1419,Classic DoomKnight,Item Shop,,Requires 2083 or 8523
,1420,Darkblood War Merge,Merge Shop,,
,1421,Quibble's Void Hunt,Merge Shop,,
,1422,Camp Shop,Merge Shop,,
,1423,Dragon Chest,Staff Shop,,
,1424,Ashfall Gear,AC Shop,,
,1425,Feceus' House Items,House Shop,,
,1426,Mystic DragonCaller,Promo Shop,,
,1427,Mystic DragonMaster,Promo Shop,,
,1428,Molten Forge,Merge Shop,,
,1429,Plague Gear,Merge Shop,,
,1430,Void DragonGuard,Promo Shop,,
,1431,Dark DragonGuard,Promo Shop,,
,1432,Inferno Dragon Lord,Staff Shop,,
,1433,Elemental Summoner LQS,Badge Shop,,
,1434,Dreadhound Rider LQS,Badge Shop,,
,1435,Dreadhound Rider LQS,Badge Shop,,
,1436,Elemental Gear LQS,Badge Shop,,
,1437,Flame Dragon Warrior,Badge Shop,,
,1438,Eclipse Shop,Seasonal Shop,,
,1439,Golden Raider,Promo Shop,,
,1440,Naval Reaper,Promo Shop,,
,1441,Shadow Dragon Chest,Item Shop,AC Shop,Requires 41140
,1442,Red Dragon Chest,Item Shop,AC Shop,Requires 41159
,1443,Orange Dragon Chest,Item Shop,AC Shop,Requires 41160
,1444,Gold Dragon Chest,Item Shop,AC Shop,Requires 41161
,1445,Green Dragon Chest,Item Shop,AC Shop,Requires 41162
,1446,Blue Dragon Chest,Item Shop,AC Shop,Requires 41163
,1447,Purple Dragon Chest,Item Shop,AC Shop,Requires 41164
,1448,Brown Dragon Chest,Item Shop,AC Shop,Requires 41165
,1449,Black Dragon Chest,Item Shop,AC Shop,Requires 41166
,1450,White Dragon Chest,Item Shop,AC Shop,Requires 41167
,1451,Pink Dragon Chest,Item Shop,AC Shop,Requires 41168
,1452,Crystal Dragon Chest,Item Shop,AC Shop,Requires 41169
,1453,Dragon King Chest,Item Shop,AC Shop,Requires 41170
,1454,Kaiju War Chest,Rare Shop,AC Shop,
,1455,Nubble Coinbiter's Shop,Rare Shop,,
,1456,Kaiju Naval Commander,Rare Shop,AC Shop,
,1457,Chest Shop Test,Staff Shop,,
,1458,Shadow Dragon House Chest,AC Shop,,
,1459,Red Dragon House Chest,AC Shop,,
,1460,Orange Dragon House Chest,AC Shop,,
,1461,Gold Dragon House Chest,AC Shop,,
,1462,Green Dragon House Chest,AC Shop,,
,1463,Blue Dragon House Chest,AC Shop,,
,1464,Purple Dragon House Chest,AC Shop,,
,1465,Brown Dragon House Chest,AC Shop,,
,1466,Black Dragon House Chest,AC Shop,,
,1467,White Dragon House Chest,AC Shop,,
,1468,Pink Dragon House Chest,AC Shop,,
,1469,Crystal Dragon House Chest,AC Shop,,
,1470,Crimson CryptLord,Promo Shop,,
,1471,Dark CryptLord,Promo Shop,,
,1472,9th Upholder,Badge Shop,,
,1473,Celestial Challenger,Merge Shop,,
,1474,Celestial Champion,Merge Shop,,
,1475,,No Shop,,
,1476,Vampire Lord Class,Seasonal Shop,AC Shop,
,1477,Vampire Lord Merge,Seasonal Shop,Merge Shop,
,1478,Blood Moon Chest,Rare Shop,AC Shop,
,1479,Blood Moon Gear,Item Shop,AC Shop,Requires 41647
,1480,0 AC Naval Commander,Item Shop,AC Shop,Requires 25623
,1481,0 AC Naval Commander,Item Shop,AC Shop,Requires 25576
,1482,Vampire Logo Shirt,Promo Shop,,
,1483,Lycan Logo Shirt,Promo Shop,,
,1484,Cauldron Shirt 2017,Promo Shop,,
,1485,15th Anniversary Shirt,Staff Shop,,
,1486,Pumpkin Spice of Destiny,Rare Shop,,
,1487,Blood Moon Rares,Rare Shop,,
,1488,Blood Moon Lycan,Merge Shop,,
,1489,Blood Moon Vampire,Merge Shop,,
,1490,Golden Merge,Merge Shop,,
,1491,9 Years Played,Badge Shop,,
,1492,8 Years Membership,Badge Shop,,
,1493,"500,000 ACs",Badge Shop,,
,1494,BrightScythe Tier 1,Badge Shop,,
,1495,BrightScythe Tier 2,Badge Shop,,
,1496,Olantern's Shop,Rare Shop,AC Shop,
,1497,EbilCorp War Chest,Seasonal Shop,,
,1498,EbilCorp Reward Shop,Seasonal Shop,,
,1499,2018 Calendar Shop,Promo Shop,,
,1500,Rune Lord Tier 1,Badge Shop,,
,1501,Rune Lord Tier 2,Badge Shop,,
,1502,Immortal Chronomancer,Item Shop,,Requires 42151
,1503,Frostval Collection Chest,Item Shop,,Requires 42223
,1504,Immortality Key,AC Shop,,
,1505,Frostval Chest,Rare Shop,AC Shop,
,1506,Frost Wolf LQS Gear,Badge Shop,,LQS
,1507,Frostlf Wolf House,Badge Shop,House Shop,LQS
,1508,Northern Defender AC,Badge Shop,,LQS
,1509,Northern Defender Mem,Badge Shop,,LQS
,1510,Northern Warrior,Badge Shop,,LQS
,1511,Djinn Gate Merge,Merge Shop,,
,1512,Void Overlord Tier 1,AC Shop,,
,1513,Void Overlord Tier 2,AC Shop,,
,1514,February Upgrade Tier 1,Badge Shop,,
,1515,February Upgrade Tier 2,Badge Shop,,
,1516,March Upgrade Tier 1,Badge Shop,,
,1517,March Upgrade Tier 2,Badge Shop,,
,1518,April Upgrade Tier 1,Badge Shop,,
,1519,April Upgrade Tier 2,Badge Shop,,
,1520,Archfiend DragonKnight,Badge Shop,,
,1521,Archfiend DragonLord,Badge Shop,,
,1522,ShadowScythe Warrior,Badge Shop,,
,1523,Shadow DoomLord,Badge Shop,,
,1524,July Upgrade Tier 1,Badge Shop,,
,1525,July Upgrade Tier 2,Badge Shop,,
,1526,Charged Ninja,Badge Shop,,
,1527,Dark Shogun,Badge Shop,,
,1528,Infernal Naval Commander,Badge Shop,,
,1529,Infernal Pirate Captain,Badge Shop,,
,1530,Doom Guardian of Time,Badge Shop,,
,1531,Guardian of Time,Badge Shop,,
,1532,Apocalyptic DragonLord,Badge Shop,,
,1533,Apocalyptic DragonKing,Badge Shop,,
,1534,Northlands Royalty I,Badge Shop,,
,1535,Northlands Royalty II,Badge Shop,,
,1536,Greenguard Shop,Normal Shop,,
,1537,Tower Guardian Gear,Normal Shop,,
,1538,Pet Tamer Rep,Reputation Shop,,
,1539,Vinara's Odd Shop,Merge Shop,,
,1540,Battle for the Underworld Print,Promo Shop,,
,1541,Warpath to Apocalypse Print,Promo Shop,,
,1542,DragonSlayer Armor Shirt FUTURE,Staff Shop,,
,1543,J6 Armor Shirt FUTURE,Staff Shop,,
,1544,Nulgath Armor Shirt,Promo Shop,,
,1545,Sepulchure Shadowscythe Armor,Promo Shop,,
,1546,Underworld/Apocalypse Print Combo,Promo Shop,,
,1547,2017 Honorable Hero,Badge Shop,,
,1548,Chateau Swaggy House,Seasonal Shop,House Shop,
,1549,Swaggy House Merge,Seasonal Shop,Merge Shop,
,1550,Beleen's Dye Shop,Seasonal Shop,,
,1551,Thistle's Potion Shop,Normal Shop,,
,1552,Comet's Treasures,Normal Shop,,
,1553,Noms & Such Foodibles,Normal Shop,,
,1554,Quokka Quokka Pets,Merge Shop,,
